,Size of Training Data,Tu RMS Error,L_ux RMS Error
0,23.0,0.0049348275863237995,0.4325119829502302
1,32.0,0.004736718208725176,0.39947729076008426
2,41.0,0.004585560087951819,0.3844319925118352
3,50.0,0.004578252612382473,0.3765594454843452
4,59.0,0.004397723610657967,0.36608631198851943
5,68.0,0.004380263070218014,0.3621682878566874
6,78.0,0.004291072826580499,0.3572468954493302
7,87.0,0.004256464956876375,0.3546000468564722
8,96.0,0.004223071889796717,0.3529578473233226
9,105.0,0.004101589758085218,0.35457546503702714
