     ,Grid Re,Rossby Number,Shaft Speed Standard Deviation * M / u_inf,Turbulence Intensity,L_ux / M,Anisotropy,Re_lambda,Epsilon
70,21013.6,70,0.0108486,0.131716,4.89932,1.32635,424.285,1.23382
71,21075.3,70,0.0201216,0.126467,3.17212,1.24364,389.55,1.25862
72,20777.4,70,0.0298483,0.124875,2.69466,1.20984,372.668,1.23491
73,28658.4,15,0.00119748,0.115496,2.25412,1.13689,413.087,2.66198
74,28443,15,0.0080149,0.115133,2.09385,1.12466,409.035,2.60132
75,28734.4,15,0.0147583,0.116375,2.13067,1.13472,420.895,2.67125
76,28704.7,15,0.0216052,0.11926,2.35373,1.15537,435.758,2.73723
77,28978.6,20,0.00118424,0.124639,2.26376,1.1408,463.547,2.99744
78,28994.3,20,0.00786252,0.123181,2.12022,1.12065,455.71,2.96519
79,29236.1,20,0.014505,0.122811,2.0103,1.12,463.127,2.9325
80,29215.5,20,0.0212274,0.124478,2.1829,1.15051,472.018,2.97108
81,29361.5,25,0.0011688,0.126603,2.2986,1.13044,483.871,3.08633
82,29653.4,25,0.00768775,0.12624,2.16058,1.10533,487.547,3.12656
83,29357.6,25,0.014445,0.127617,2.33071,1.13231,498.126,3.00498
84,29468.9,25,0.0210449,0.124517,2.57786,1.16748,479.03,2.98988
85,29903.3,30,0.00114762,0.129877,2.31611,1.12747,512.26,3.28117
86,29749.2,30,0.00766298,0.132248,2.14045,1.10885,530.185,3.22568
87,29707,30,0.0142751,0.130089,2.30619,1.13862,517.528,3.15168
88,29457.8,30,0.0210529,0.130368,3.19149,1.22372,516.459,3.08616
89,30176.1,40,0.00113725,0.131681,2.36828,1.13811,537.438,3.26657
90,30182.9,40,0.00755289,0.133197,2.64734,1.16862,546.047,3.31562
91,30055,40,0.0141098,0.130351,2.81464,1.19813,530.683,3.16566
92,29595,40,0.0209553,0.130491,3.55826,1.2624,524.517,3.0597
93,30173.1,70,0.00113736,0.134927,3.20588,1.29615,568.004,3.22239
94,30174.9,70,0.00755488,0.134569,4.03097,1.32013,571.204,3.15345
95,30075.7,70,0.0141001,0.134584,4.36529,1.29808,562.383,3.21205
96,30078.4,70,0.0206185,0.131833,3.9813,1.30507,547.053,3.12656
97,38276.7,15,0.000896569,0.120923,2.28745,1.15242,554.943,5.64009
98,38489.4,15,0.00592288,0.121114,2.23533,1.1566,560.336,5.6919
