,Trial Name,Grid Re,Rossby Number,Shaft Speed Standard Deviation * M / u_inf,Shaft Speed Standard Deviation * M^2 / nu,Turbulence Intensity,Turbulence Intensity Uncertainty,L_ux / M,L_ux Uncertainty,Anisotropy,Re_lambda,Epsilon
0,fs_12_Ro_15_Std_0.14,47780.75125107925,15.0,0.0007182336976265698,34.317745646438,0.1241170511816023,0.008052548255982825,2.3385878914124683,0.1662756305816754,1.1607170454945068,703.0715738865629,9.469949044552617
1,fs_12_Ro_15_Std_0.93,47830.00523435253,15.0,0.004766210680455118,227.96788179419525,0.12417397287504967,0.008066865456154888,2.357853110456633,0.37704911608460173,1.1597369129949333,704.247426098062,9.494727650393564
2,fs_12_Ro_15_Std_1.73,48068.573863765385,15.0,0.008822173228812904,424.06928548812664,0.12500248201413722,0.008045818012983725,2.7258407534802576,0.7893749423479118,1.1760559481310682,718.288333282932,9.56160721568459
3,fs_12_Ro_15_Std_2.53,47643.7121343094,15.0,0.01301684233658733,620.170689182058,0.1278967796475726,0.008349098708317716,2.685785216617201,0.3574503158291835,1.1827113076845055,733.5108032572979,9.697433403363195
4,fs_12_Ro_20_Std_0.14,47832.210929331675,20.0,0.0007174609950006234,34.317745646438,0.13003312722146465,0.008711801031127304,2.458622459258065,0.27468744965427394,1.1705854523500947,746.5268070420475,10.162862875490553
5,fs_12_Ro_20_Std_0.93,47948.0438597026,20.0,0.004754477209982457,227.96788179419528,0.13085074823766657,0.008746892935498263,2.476004161784262,0.27885403129472897,1.1790428510389668,753.2655280659836,10.334780583262075
6,fs_12_Ro_20_Std_1.73,47684.785128518306,20.0,0.008893178072317836,424.06928548812664,0.13087136392049128,0.008829536545853976,2.3537637908241344,0.20286235786293697,1.1692397156028405,749.111391175846,10.22854974817533
7,fs_12_Ro_20_Std_2.53,47765.56871123881,20.0,0.012983634570148799,620.170689182058,0.1333802289632891,0.00937637404233335,2.420240599079344,0.16132875752341921,1.1437701057979317,772.8394489094815,10.438933032782264
8,fs_12_Ro_25_Std_0.14,48007.46665499846,25.0,0.0007148418368554943,34.31774564643799,0.13532325909750537,0.00938578282890752,2.7185018164285055,0.46238873033384353,1.171862258075016,798.6222095161216,10.569421384977954
9,fs_12_Ro_25_Std_0.93,47941.84013046598,25.0,0.004755092444800146,227.96788179419522,0.13526234800170422,0.00928334711475034,2.6262805683638994,0.45964869883477727,1.1827320677966586,787.3596475455325,10.795163105329245
10,fs_12_Ro_25_Std_1.73,47735.163270090576,25.0,0.008883792500901233,424.06928548812664,0.13720858834139724,0.009779152191661204,2.5953882017672476,0.35770904697901745,1.1562767582057796,808.2225486911502,10.661687235016904
11,fs_12_Ro_25_Std_2.53,47843.99644951297,25.0,0.012962351291796634,620.170689182058,0.13416765089513255,0.009069973214029897,2.623644087617488,0.2804513337737876,1.191187680866903,786.0997685519955,10.398118304744463
12,fs_12_Ro_30_Std_0.14,47838.26625222714,30.0,0.0007173701794604714,34.317745646438,0.13649266148894076,0.009271601377647409,2.693027433360396,0.28025488958838907,1.2028330032315933,800.4768794846831,10.736194728261294
13,fs_12_Ro_30_Std_0.93,48001.38909752207,30.0,0.0047491934312785,227.96788179419525,0.13734783652306604,0.00953782717193253,2.7041631118531044,0.18615498511309594,1.1849961643394569,812.6498863664277,10.826911457255342
14,fs_12_Ro_30_Std_1.73,47881.895598629664,30.0,0.008856568441711048,424.06928548812664,0.13731075676386117,0.00956349301651937,2.6841933870556236,0.48235946750984193,1.1815462635259595,813.5185480058867,10.685077968298971
15,fs_12_Ro_30_Std_2.53,48339.270180109896,30.0,0.01282954183775077,620.1706891820581,0.13677925769420796,0.009417329134851035,2.8848992148161576,0.2848151744825761,1.190195324513676,818.9846800486689,10.78298001973059
16,fs_12_Ro_40_Std_0.14,48429.86116740254,40.0,0.0007086071448318913,34.317745646438,0.13907153889882562,0.009862370861096143,2.73072707850468,0.3196819781226278,1.1746355322082656,839.210314260968,11.057917401819747
17,fs_12_Ro_40_Std_0.93,47907.85362995052,40.0,0.004758465773796986,227.96788179419522,0.1395468847140255,0.009402385663446929,3.0508834564174494,0.3462393585161537,1.23395045856411,837.5555496348054,10.776785205163547
18,fs_12_Ro_40_Std_1.73,47935.228634257546,40.0,0.008846714568188372,424.06928548812664,0.13942171178990523,0.00925530850844424,3.1356228399537853,0.41293506489145054,1.2497584994723074,834.3863985918288,10.844647814003551
19,fs_12_Ro_40_Std_2.53,47656.6048563281,40.0,0.013013320840872039,620.170689182058,0.13799385716210993,0.009130342094198798,3.224863571441679,0.4223153023733217,1.2429990270167204,815.6736769803789,10.639165097353128
